nome,cognome,codice_fiscale,numero_albo,citta_ordine,data_iscrizione_albo,citta,email,password,telefono,url_sito,indirizzo,specializzazioni,coordinate
Claudio,Marino,MRNCLD79M12L736E,12340,Venezia,2008-08-14,Venezia,c.marino@urologia.it,$2b$10$hash11,+393441234577,https://www.urologomarino.com,"Fondamenta delle Zattere 56, Venezia",Urologia,"45.4297000,12.3273000"
Silvia,De Luca,DLCSLV81N52G478T,23401,Perugia,2016-10-05,Perugia,s.deluca@pneumologia.it,$2b$10$hash12,+393491234578,https://www.pneumologadeluca.it,"Corso Vannucci 78, Perugia",Pneumologia,"43.1122000,12.3888000"
Paolo,Santoro,SNTPLA74P18A271S,34012,Ancona,2006-12-12,Ancona,p.santoro@oncologia.it,$2b$10$hash13,+393331234579,https://www.oncologosantoro.it,"Corso della Libertà 34, Ancona",Oncologia,"43.6158000,13.5189000"
Chiara,Galli,GLLCHR86Q48L378U,40123,Trento,2017-03-20,Trento,c.galli@reumatologia.it,$2b$10$hash14,+393481234580,https://www.reumatologagalli.it,"Via Roma 67, Trento",Reumatologia,"46.0747000,11.1217000"
Massimo,Rizzo,RZZMSS73R25L424V,50123,Trieste,2010-06-09,Trieste,m.rizzo@radiologia.it,$2b$10$hash15,+393451234581,https://www.radiologorizzo.it,"Riva Tre Novembre 89, Trieste",Radiologia,"45.6495000,13.7768000"
Paola,Barbieri,BRBPLA84S60B354X,60123,Cagliari,2018-01-15,Cagliari,p.barbieri@anestesia.it,$2b$10$hash16,+393421234582,https://www.anestesistabarbieri.it,"Via Roma 123, Cagliari",Anestesiologia,"39.2238000,9.1217000"
Andrea,Costa,CSTDRA76T10A326Y,70123,Aosta,2011-09-23,Aosta,a.costa@chirurgia.it,$2b$10$hash17,+393461234583,https://www.chirurgocosta.it,"Via Aubert 45, Aosta",Chirurgia Generale,"45.7372000,7.3207000"
Monica,Mancini,MNCMNC87U45F052Z,80123,Potenza,2019-04-11,Potenza,m.mancini@ematologia.it,$2b$10$hash18,+393371234584,https://www.ematologamancini.it,"Via del Gallitello 12, Potenza",Ematologia,"40.6389000,15.8070000"
Giuseppe,Ferri,FRRGPP75V20A345A,90120,L'Aquila,2009-11-07,L'Aquila,g.ferri@nefrologia.it,$2b$10$hash19,+393441234585,https://www.nefrologoferri.it,"Via XX Settembre 78, L'Aquila",Nefrologia,"42.3498000,13.3995000"
Anna,Esposito,SPSNNA88W70D643B,01230,Campobasso,2020-02-18,Campobasso,a.esposito@fisiatria.it,$2b$10$hash20,+393491234586,https://www.fisitraesposito.it,"Via Mazzini 34, Campobasso",Fisiatria,"41.5630000,14.6681000"
Dino,Tosi,SJSXMN850320POUI,63498,Roma,2022-01-07,Roma,d.tosi@example.it,$2b$10$8eda8d139c,+393484122115,https://www.tosiclinic.it,"Strada Missoni 148, Roma",Ortopedia,"41.9028000,12.4964000"
Paride,Fermi,YOVSUE240905RQQJ,50668,Roma,2009-03-13,Roma,p.fermi@example.it,$2b$10$82cffa9ac1,+393472132957,https://www.fermiclinic.it,"Piazza Paoletta 7, Roma",Pediatria,"41.9028000,12.4964000"
Ermenegildo,Medici,FCXIQG750320KYRX,71098,Roma,2013-12-20,Roma,e.medici@example.it,$2b$10$9ab39808b9,+393455440552,https://www.mediciclinic.it,"Piazza Ughi 113, Roma",Oculistica,"41.9028000,12.4964000"
Olga,Finzi,TNRTGZ581104PBUC,23616,Roma,2022-10-21,Roma,o.finzi@example.it,$2b$10$8fdd5eced6,+393458990422,https://www.finziclinic.it,"Via Rembrandt 85, Roma",Psichiatria,"41.9028000,12.4964000"
Adamo,Carducci,QVQTNP800704LASO,60490,Roma,2020-10-12,Roma,a.carducci@example.it,$2b$10$b04a9c15ca,+393436651056,https://www.carducciclinic.it,"Strada Toninelli 81, Roma",Nefrologia,"41.9028000,12.4964000"
Durante,Offredi,DZBBBW290502LDYQ,55780,Roma,2010-07-31,Roma,d.offredi@example.it,$2b$10$0f89881c3c,+393481008676,https://www.offrediclinic.it,"Stretto Borrani 130, Roma",Urologia,"41.9028000,12.4964000"
Osvaldo,Malacarne,ZCVJAW490413MYST,14928,Roma,2016-11-29,Roma,o.malacarne@example.it,$2b$10$9c9240a971,+393457980963,https://www.malacarneclinic.it,"Vicolo Raffaele 178, Roma",Anestesiologia,"41.9028000,12.4964000"
Jacopo,Zabarella,IFUCAP740201KPFO,32193,Roma,2012-08-29,Roma,j.zabarella@example.it,$2b$10$c9a080735a,+393414751058,https://www.zabarellaclinic.it,"Borgo Marco 161, Roma",Oculistica,"41.9028000,12.4964000"
Diana,Vergerio,PAHDJK720702TWVN,10295,Roma,2014-08-24,Roma,d.vergerio@example.it,$2b$10$9c53861376,+393422338008,https://www.vergerioclinic.it,"Canale Ossola 104, Roma",Pneumologia,"41.9028000,12.4964000"
Licia,Majorana,ZJJLDR950311PKBE,28290,Roma,2020-08-25,Roma,l.majorana@example.it,$2b$10$eaabe721fc,+393441199771,https://www.majoranaclinic.it,"Contrada Greca 58, Roma",Urologia,"41.9028000,12.4964000"
Raimondo,Franceschi,VUNOYV981106DQYA,81032,Roma,2013-08-18,Roma,r.franceschi@example.it,$2b$10$591a5dee20,+393469528960,https://www.franceschiclinic.it,"Vicolo Costantino 128, Roma",Fisiatria,"41.9028000,12.4964000"
Matteo,Pedersoli,EAAVYP171221UWQA,49528,Roma,2006-01-24,Roma,m.pedersoli@example.it,$2b$10$d21ff7a7aa,+393456601007,https://www.pedersoliclinic.it,"Piazza Arnulfo 195, Roma",Reumatologia,"41.9028000,12.4964000"
Biagio,Gozzi,KRFIXV150327PVSB,81496,Roma,2005-10-26,Roma,b.gozzi@example.it,$2b$10$3e46901e87,+393431062313,https://www.gozziclinic.it,"Via Ludovisi 156, Roma",Pneumologia,"41.9028000,12.4964000"
Carmelo,Randazzo,QXNLCS510825XDSV,48244,Roma,2012-09-17,Roma,c.randazzo@example.it,$2b$10$6b6960ef78,+393487187504,https://www.randazzoclinic.it,"Contrada Gloria 59, Roma",Cardiologia,"41.9028000,12.4964000"
Gino,Montecchi,EQPIES210705MYAR,24044,Roma,2006-03-28,Roma,g.montecchi@example.it,$2b$10$76edd2ea9f,+393440847017,https://www.montecchiclinic.it,"Rotonda Elladio 176, Roma",Ortopedia,"41.9028000,12.4964000"
Gino,Pizzetti,XHVEVW220418IPOV,33895,Roma,2016-05-06,Roma,g.pizzetti@example.it,$2b$10$3a5e0104ee,+393475953729,https://www.pizzetticlinic.it,"Borgo Mennea 124, Roma",Ginecologia,"41.9028000,12.4964000"
Caterina,Soprano,FAEKGK290822IRTV,39186,Roma,2019-11-07,Roma,c.soprano@example.it,$2b$10$0cf7df121a,+393486667722,https://www.sopranoclinic.it,"Vicolo Varano 62, Roma",Oncologia,"41.9028000,12.4964000"
Mattia,Zaccardo,IYHJUW280124UEMX,91706,Roma,2015-07-12,Roma,m.zaccardo@example.it,$2b$10$b52dc5f9dd,+393463268713,https://www.zaccardoclinic.it,"Borgo Cappelli 66, Roma",Chirurgia Generale,"41.9028000,12.4964000"
Melina,Bosurgi,TZSGTD161216WUCU,17034,Roma,2021-07-17,Roma,m.bosurgi@example.it,$2b$10$77237c9c70,+393415476714,https://www.bosurgiclinic.it,"Strada Pina 182, Roma",Gastroenterologia,"41.9028000,12.4964000"
Michelangelo,Carriera,FDNKPJ221119ZKPH,28464,Roma,2014-05-07,Roma,m.carriera@example.it,$2b$10$871b36b5b5,+393418911451,https://www.carrieraclinic.it,"Piazza Sante 138, Roma",Dermatologia,"41.9028000,12.4964000"
Micheletto,Pisano,BLZBJE400622TDMV,26736,Roma,2009-07-20,Roma,m.pisano@example.it,$2b$10$75486c377a,+393463488628,https://www.pisanoclinic.it,"Via Micheletto 157, Roma",Pneumologia,"41.9028000,12.4964000"
Barbara,Grasso,MDVLNN110315NPXA,86489,Roma,2014-10-16,Roma,b.grasso@example.it,$2b$10$84db41d1d8,+393491372335,https://www.grassoclinic.it,"Canale Matilda 40, Roma",Neurologia,"41.9028000,12.4964000"
Sandra,Veneziano,JCFRJX550606XZQJ,93865,Roma,2021-03-29,Roma,s.veneziano@example.it,$2b$10$09d483e1c0,+393450005598,https://www.venezianoclinic.it,"Vicolo Binaghi 174, Roma",Cardiologia,"41.9028000,12.4964000"
Diana,Guariento,HFBKAV870511XZEV,36699,Roma,2009-09-22,Roma,d.guariento@example.it,$2b$10$0c96a06470,+393416098440,https://www.guarientoclinic.it,"Borgo Giorgia 136, Roma",Ginecologia,"41.9028000,12.4964000"
Giosuè,Mazzocchi,KTOHOJ490927ZSNQ,26476,Roma,2025-02-07,Roma,g.mazzocchi@example.it,$2b$10$38ae7bf9af,+393440105607,https://www.mazzocchiclinic.it,"Viale Colletti 183, Roma",Dermatologia,"41.9028000,12.4964000"
Tatiana,Abatantuono,GYYNHM680107USCP,71053,Roma,2015-02-21,Roma,t.abatantuono@example.it,$2b$10$ffbc99bb78,+393410485801,https://www.abatantuonoclinic.it,"Canale Annetta 32, Roma",Oncologia,"41.9028000,12.4964000"
Domenico,Gullotta,KOWGVF450915XHCS,24531,Roma,2007-06-25,Roma,d.gullotta@example.it,$2b$10$985e4acebf,+393433422936,https://www.gullottaclinic.it,"Stretto Antonello 99, Roma",Anestesiologia,"41.9028000,12.4964000"
Amadeo,Infantino,EMKWFU300926QWJH,26654,Roma,2018-09-19,Roma,a.infantino@example.it,$2b$10$02c32452e3,+393486108998,https://www.infantinoclinic.it,"Piazza Errigo 168, Roma",Pediatria,"41.9028000,12.4964000"
Simone,Caironi,MGSOMU231006MKBN,55195,Roma,2010-06-12,Roma,s.caironi@example.it,$2b$10$27aad3642a,+393439943130,https://www.caironiclinic.it,"Incrocio Pizzo 183, Roma",Pediatria,"41.9028000,12.4964000"
Mirko,Verdi,EOOXRS860208ZEIQ,39782,Roma,2014-09-26,Roma,m.verdi@example.it,$2b$10$0837221426,+393425786478,https://www.verdiclinic.it,"Incrocio Nanni 57, Roma",Nefrologia,"41.9028000,12.4964000"
